State,County,City,ZIP Code,Estimated Population,Zone ID,Zone Target Pop,Status,Showcase Business Name,Showcase Street,Showcase City,Showcase State,Showcase Zip
PA,Bedford,Queen,16670,47,ERI-A,977084,Available,,,,,
PA,Clearfield,Ramey,16671,505,HAR-A,977084,Available,,,,,
PA,Bedford,Riddlesburg,16672,187,ERI-A,977084,Available,,,,,
PA,Blair,Roaring Spring,16673,5519,ERI-A,977084,Available,,,,,
PA,Huntingdon,Robertsdale,16674,736,HAR-A,977084,Available,,,,,
PA,Centre,Sandy Ridge,16677,481,HAR-A,977084,Available,,,,,
PA,Bedford,Saxton,16678,2689,ERI-A,977084,Available,,,,,
PA,Bedford,Six Mile Run,16679,844,ERI-A,977084,Available,,,,,
PA,Clearfield,Smithmill,16680,427,HAR-A,977084,Available,,,,,
PA,Blair,Sproul,16682,117,ERI-A,977084,Available,,,,,
PA,Huntingdon,Spruce Creek,16683,383,HAR-A,977084,Available,,,,,
PA,Huntingdon,Todd,16685,249,HAR-A,977084,Available,,,,,
PA,Blair,Tyrone,16686,13488,ERI-A,977084,Available,,,,,
PA,Fulton,Waterfall,16689,462,HAR-A,977084,Available,,,,,
PA,Fulton,Wells Tannery,16691,314,HAR-A,977084,Available,,,,,
PA,Clearfield,Westover,16692,753,HAR-A,977084,Available,,,,,
PA,Blair,Williamsburg,16693,4185,ERI-A,977084,Available,,,,,
PA,Bedford,Wood,16694,254,ERI-A,977084,Available,,,,,
PA,Bedford,Woodbury,16695,1198,ERI-A,977084,Available,,,,,
PA,Cambria,Cresson,16699,1469,JOH-A,977084,Available,,,,,
PA,McKean,Bradford,16701,17980,HAR-A,977084,Available,,,,,
PA,Potter,Austin,16720,1392,HAR-A,977084,Available,,,,,
PA,McKean,Crosby,16724,143,HAR-A,977084,Available,,,,,
PA,McKean,Custer City,16725,166,HAR-A,977084,Available,,,,,
PA,McKean,Cyclone,16726,542,HAR-A,977084,Available,,,,,
PA,McKean,Derrick City,16727,211,HAR-A,977084,Available,,,,,
PA,Elk,De Young,16728,25,JOH-A,977084,Available,,,,,
PA,McKean,Duke Center,16729,761,HAR-A,977084,Available,,,,,
PA,McKean,East Smethport,16730,121,HAR-A,977084,Available,,,,,
PA,McKean,Eldred,16731,2818,HAR-A,977084,Available,,,,,
PA,McKean,Gifford,16732,293,HAR-A,977084,Available,,,,,
PA,McKean,Hazel Hurst,16733,222,HAR-A,977084,Available,,,,,
PA,Elk,James City,16734,287,JOH-A,977084,Available,,,,,
PA,McKean,Kane,16735,6309,HAR-A,977084,Available,,,,,
